DIDOLFI BZ INDEX,HASH11 BZ EQUITY,IVVB11 BZ EQUITY,KADIMLB BZ INDEX,KADLOFF BZ INDEX
1.742364,,45.65,,1.015615
1.731626,,45.79,,1.014228
1.708349,,45.5,,0.987724
1.730569,,46.6,,0.965553
1.723272,,46.5,,0.984214
1.690966,,47.26,,0.96725
1.686787,,48.41,,0.935946
1.683316,,48.65,,0.931079
1.651468,,49.69,,0.90459
1.661837,,48.9,,0.923208
1.603046,,50.05,,0.908177
1.635364,,49.51,,0.94263
1.608348,,49.39,,0.931389
1.611285,,49.39,,0.951601
1.621143,,50.29,,0.97933
1.614409,,51.24,,0.969853
1.614319,,51.16,,0.973914
1.61804,,51.16,,0.964339
1.602087,,52.24,,0.946714
1.598801,,52.85,,0.952532
1.608001,,52.6,,0.948512
1.598757,,52.96,,0.946905
1.58935,,52.97,,0.950861
1.589522,,53.7,,0.937614
1.587052,,53.82,,0.936682
1.572178,,53.47,,0.929393
1.589602,,53.9,,0.944699
1.620282,,53.57,,0.964073
1.620742,,53.57,,0.963993
1.713212,,52.77,,1.003723
1.718121,,53.5,,0.99468
1.707405,,53.13,,0.995766
1.731409,,52.53,,0.991846
1.72737,,52.69,,0.994466
1.716534,,53.95,,0.998146
1.681265,,53.2,,0.961904
1.670637,,53.76,,0.957182
1.659443,,53.7,,0.96343
1.662946,,54.11,,0.954865
1.669287,,54.7,,0.960441
1.678509,,54.72,,0.940046
1.655091,,54.14,,0.935243
1.653941,,54.27,,0.928191
1.668315,,54.71,,0.929385
1.669775,,54.69,,0.904474
1.672114,,54.4,,0.891209
1.693845,,55.43,,0.882217
1.689588,,54.7,,0.910425
1.704398,,54.98,,0.907714
1.711292,,55.85,,0.926496
1.722122,,54.57,,0.934571
1.716706,,57.33,,0.942501
1.717448,,57.33,,0.942418
1.715119,,56.55,,0.9369
1.713988,,57.25,,0.944965
1.725025,,55.39,,0.9404
1.725631,,55.39,,0.940309
1.711574,,55.8,,0.917856
1.728472,,55.75,,0.898683
1.738501,,54.85,,0.895151
1.738746,,55.17,,0.913709
1.738165,,55.8,,0.913959
1.744263,,54.75,,0.891232
1.709525,,54.85,,0.877256
1.700069,,54,,0.876566
1.706161,,53.1,,0.875513
1.705902,,53.57,,0.873694
1.72201,,53.45,,0.893282
1.690145,,53.82,,0.870955
1.707118,,53.32,,0.870536
1.710404,,53.58,,0.88696
1.711506,,53.4,,0.885429
1.701794,,53.93,,0.879099
1.690919,,53.8,,0.874684
1.681969,,53.14,,0.873958
1.66563,,53.2,,0.863189
1.686655,,53.36,,0.867781
1.709358,,54.7,,0.853203
1.729665,,54.33,,0.862183
1.719369,,55.72,,0.871588
1.708527,,57.03,,0.878931
1.710591,,57.34,,0.882222
1.710458,,58.16,,0.871669
1.715215,,57.8,,0.876753
1.722843,,59.22,,0.865268
1.75575,,60.23,,0.857918
1.746394,,59.78,,0.876353
1.75873,,60.11,,0.894833
1.760095,,60.33,,0.904852
1.759492,,61.19,,0.909172
1.767944,,61.54,,0.906782
1.757335,,61.4,,0.908667
1.782928,,60.99,,0.916069
1.755283,,61.74,,0.922379
1.761865,,61.85,,0.924643
1.789388,,61.05,,0.914852
1.77373,,62.23,,0.909446
1.773543,,62.54,,0.908608
1.77894,,63.64,,0.898326
1.784082,,64.44,,0.899118
1.809344,,64.36,,0.894389
1.838185,,66.27,,0.877535
1.837872,,64.8,,0.870368
1.841439,,64.84,,0.87903
1.849414,,66.37,,0.885576
1.881942,,67.74,,0.877047
1.863559,,68.71,,0.881431
1.878317,,68.69,,0.899974
1.874038,,68.35,,0.921667
1.854722,,70.2,,0.915304
1.846098,,69.42,,0.930182
1.859538,,67.35,,0.928023
1.863717,,66.55,,0.925324
1.854665,,66.86,,0.926644
1.847545,,66.75,,0.911245
1.849012,,67.78,,0.905505
1.861392,,68.48,,0.920856
1.866601,,66.94,,0.920173
1.886024,,66.45,,0.939636
1.891273,,65.69,,0.947734
